Source,Target,Type,ID,Label,Weighted
1,1,Undirected,1,,0
1,2,Undirected,2,,0.75
1,3,Undirected,3,,1
1,4,Undirected,4,,0.75
1,5,Undirected,5,,0.75
1,6,Undirected,6,,0.75
1,7,Undirected,7,,0.75
1,8,Undirected,8,,0.75
1,9,Undirected,9,,0.25
1,10,Undirected,10,,0.5
1,11,Undirected,11,,0.5
1,12,Undirected,12,,0.5
1,13,Undirected,13,,0.25
1,14,Undirected,14,,0.25
1,15,Undirected,15,,0.5
1,16,Undirected,16,,0.25
1,17,Undirected,17,,0.5
1,18,Undirected,18,,0.5
1,19,Undirected,19,,0.25
1,20,Undirected,20,,0.25
1,21,Undirected,21,,0.5
2,1,Undirected,22,,0.75
2,2,Undirected,23,,0
2,3,Undirected,24,,0.5
2,4,Undirected,25,,0.75
2,5,Undirected,26,,0.5
2,6,Undirected,27,,0.25
2,7,Undirected,28,,0.5
2,8,Undirected,29,,0.5
2,9,Undirected,30,,0.25
2,10,Undirected,31,,0.25
2,11,Undirected,32,,0.25
2,12,Undirected,33,,0.25
2,13,Undirected,34,,0
2,14,Undirected,35,,0
2,15,Undirected,36,,0.25
2,16,Undirected,37,,0.25
2,17,Undirected,38,,0.5
2,18,Undirected,39,,0.5
2,19,Undirected,40,,0.25
2,20,Undirected,41,,0
2,21,Undirected,42,,0.5
3,1,Undirected,43,,1
3,2,Undirected,44,,0.5
3,3,Undirected,45,,0
3,4,Undirected,46,,0.5
3,5,Undirected,47,,0.25
3,6,Undirected,48,,0.5
3,7,Undirected,49,,0.5
3,8,Undirected,50,,0.5
3,9,Undirected,51,,0.25
3,10,Undirected,52,,0.25
3,11,Undirected,53,,0.25
3,12,Undirected,54,,0.25
3,13,Undirected,55,,0.25
3,14,Undirected,56,,0
3,15,Undirected,57,,0.25
3,16,Undirected,58,,0.25
3,17,Undirected,59,,0.5
3,18,Undirected,60,,0.5
3,19,Undirected,61,,0.25
3,20,Undirected,62,,0.25
3,21,Undirected,63,,0.25
4,1,Undirected,64,,0.75
4,2,Undirected,65,,0.75
4,3,Undirected,66,,0.5
4,4,Undirected,67,,0
4,5,Undirected,68,,0.5
4,6,Undirected,69,,0.25
4,7,Undirected,70,,0.5
4,8,Undirected,71,,0.5
4,9,Undirected,72,,0.25
4,10,Undirected,73,,0.25
4,11,Undirected,74,,0.25
4,12,Undirected,75,,0.25
4,13,Undirected,76,,0
4,14,Undirected,77,,0
4,15,Undirected,78,,0.25
4,16,Undirected,79,,0.25
4,17,Undirected,80,,0.5
4,18,Undirected,81,,0.5
4,19,Undirected,82,,0.25
4,20,Undirected,83,,0
4,21,Undirected,84,,0.5
5,1,Undirected,85,,0.75
5,2,Undirected,86,,0.5
5,3,Undirected,87,,0.5
5,4,Undirected,88,,0.5
5,5,Undirected,89,,0
5,6,Undirected,90,,0.5
5,7,Undirected,91,,0.5
5,8,Undirected,92,,0.5
5,9,Undirected,93,,0.25
5,10,Undirected,94,,0.25
5,11,Undirected,95,,0.25
5,12,Undirected,96,,0.25
5,13,Undirected,97,,0
5,14,Undirected,98,,0.25
5,15,Undirected,99,,0.5
5,16,Undirected,100,,0.25
5,17,Undirected,101,,0.25
5,18,Undirected,102,,0.25
5,19,Undirected,103,,0.25
5,20,Undirected,104,,0
5,21,Undirected,105,,0.5
6,1,Undirected,106,,0.75
6,2,Undirected,107,,0.25
6,3,Undirected,108,,0.5
6,4,Undirected,109,,0.25
6,5,Undirected,110,,0.25
6,6,Undirected,111,,0
6,7,Undirected,112,,0.25
6,8,Undirected,113,,0.25
6,9,Undirected,114,,0.25
6,10,Undirected,115,,0.5
6,11,Undirected,116,,0.5
6,12,Undirected,117,,0.5
6,13,Undirected,118,,0
6,14,Undirected,119,,0
6,15,Undirected,120,,0
6,16,Undirected,121,,0
6,17,Undirected,122,,0
6,18,Undirected,123,,0
6,19,Undirected,124,,0
6,20,Undirected,125,,0
6,21,Undirected,126,,0.25
7,1,Undirected,127,,0.75
7,2,Undirected,128,,0.5
7,3,Undirected,129,,0.5
7,4,Undirected,130,,0.5
7,5,Undirected,131,,0.5
7,6,Undirected,132,,0.25
7,7,Undirected,133,,0
7,8,Undirected,134,,0.75
7,9,Undirected,135,,0.25
7,10,Undirected,136,,0.25
7,11,Undirected,137,,0.25
7,12,Undirected,138,,0.25
7,13,Undirected,139,,0.25
7,14,Undirected,140,,0
7,15,Undirected,141,,0.25
7,16,Undirected,142,,0.25
7,17,Undirected,143,,0.25
7,18,Undirected,144,,0.25
7,19,Undirected,145,,0.25
7,20,Undirected,146,,0.25
7,21,Undirected,147,,0
8,1,Undirected,148,,0.75
8,2,Undirected,149,,0.5
8,3,Undirected,150,,0.5
8,4,Undirected,151,,0.5
8,5,Undirected,152,,0.5
8,6,Undirected,153,,0.25
8,7,Undirected,154,,0.75
8,8,Undirected,155,,0
8,9,Undirected,156,,0.25
8,10,Undirected,157,,0.25
8,11,Undirected,158,,0.25
8,12,Undirected,159,,0.25
8,13,Undirected,160,,0.25
8,14,Undirected,161,,0
8,15,Undirected,162,,0.25
8,16,Undirected,163,,0.25
8,17,Undirected,164,,0.25
8,18,Undirected,165,,0.25
8,19,Undirected,166,,0.25
8,20,Undirected,167,,0.25
8,21,Undirected,168,,0.5
9,1,Undirected,169,,0.25
9,2,Undirected,170,,0.25
9,3,Undirected,171,,0.25
9,4,Undirected,172,,0.25
9,5,Undirected,173,,0.25
9,6,Undirected,174,,0.25
9,7,Undirected,175,,0.25
9,8,Undirected,176,,0.25
9,9,Undirected,177,,0
9,10,Undirected,178,,0
9,11,Undirected,179,,0
9,12,Undirected,180,,0
9,13,Undirected,181,,0
9,14,Undirected,182,,0
9,15,Undirected,183,,0.25
9,16,Undirected,184,,0.25
9,17,Undirected,185,,0.25
9,18,Undirected,186,,0.25
9,19,Undirected,187,,0.25
9,20,Undirected,188,,0
9,21,Undirected,189,,0.25
10,1,Undirected,190,,0.5
10,2,Undirected,191,,0.25
10,3,Undirected,192,,0.25
10,4,Undirected,193,,0.25
10,5,Undirected,194,,0.25
10,6,Undirected,195,,0.5
10,7,Undirected,196,,0.25
10,8,Undirected,197,,0.25
10,9,Undirected,198,,0
10,10,Undirected,199,,0
10,11,Undirected,200,,0.5
10,12,Undirected,201,,0.5
10,13,Undirected,202,,0
10,14,Undirected,203,,0
10,15,Undirected,204,,0
10,16,Undirected,205,,0
10,17,Undirected,206,,0
10,18,Undirected,207,,0
10,19,Undirected,208,,0
10,20,Undirected,209,,0
10,21,Undirected,210,,0.25
11,1,Undirected,211,,0.5
11,2,Undirected,212,,0.25
11,3,Undirected,213,,0.25
11,4,Undirected,214,,0.25
11,5,Undirected,215,,0.25
11,6,Undirected,216,,0.5
11,7,Undirected,217,,0.25
11,8,Undirected,218,,0.25
11,9,Undirected,219,,0
11,10,Undirected,220,,0.5
11,11,Undirected,221,,0
11,12,Undirected,222,,0.5
11,13,Undirected,223,,0
11,14,Undirected,224,,0
11,15,Undirected,225,,0
11,16,Undirected,226,,0
11,17,Undirected,227,,0
11,18,Undirected,228,,0
11,19,Undirected,229,,0
11,20,Undirected,230,,0
11,21,Undirected,231,,0.25
12,1,Undirected,232,,0.5
12,2,Undirected,233,,0.25
12,3,Undirected,234,,0.25
12,4,Undirected,235,,0.25
12,5,Undirected,236,,0.25
12,6,Undirected,237,,0.5
12,7,Undirected,238,,0.25
12,8,Undirected,239,,0.25
12,9,Undirected,240,,0
12,10,Undirected,241,,0.5
12,11,Undirected,242,,0.5
12,12,Undirected,243,,0
12,13,Undirected,244,,0
12,14,Undirected,245,,0
12,15,Undirected,246,,0
12,16,Undirected,247,,0
12,17,Undirected,248,,0
12,18,Undirected,249,,0
12,19,Undirected,250,,0
12,20,Undirected,251,,0
12,21,Undirected,252,,0.25
13,1,Undirected,253,,0.25
13,2,Undirected,254,,0
13,3,Undirected,255,,0.25
13,4,Undirected,256,,0
13,5,Undirected,257,,0
13,6,Undirected,258,,0
13,7,Undirected,259,,0.25
13,8,Undirected,260,,0.25
13,9,Undirected,261,,0
13,10,Undirected,262,,0
13,11,Undirected,263,,0
13,12,Undirected,264,,0
13,13,Undirected,265,,0
13,14,Undirected,266,,0
13,15,Undirected,267,,0
13,16,Undirected,268,,0
13,17,Undirected,269,,0
13,18,Undirected,270,,0
13,19,Undirected,271,,0
13,20,Undirected,272,,0.25
13,21,Undirected,273,,0
14,1,Undirected,274,,0.25
14,2,Undirected,275,,0
14,3,Undirected,276,,0
14,4,Undirected,277,,0
14,5,Undirected,278,,0.25
14,6,Undirected,279,,0
14,7,Undirected,280,,0
14,8,Undirected,281,,0
14,9,Undirected,282,,0
14,10,Undirected,283,,0
14,11,Undirected,284,,0
14,12,Undirected,285,,0
14,13,Undirected,286,,0
14,14,Undirected,287,,0
14,15,Undirected,288,,0.25
14,16,Undirected,289,,0
14,17,Undirected,290,,0
14,18,Undirected,291,,0
14,19,Undirected,292,,0
14,20,Undirected,293,,0
14,21,Undirected,294,,0
15,1,Undirected,295,,0.5
15,2,Undirected,296,,0.25
15,3,Undirected,297,,0.25
15,4,Undirected,298,,0.25
15,5,Undirected,299,,0.5
15,6,Undirected,300,,0.25
15,7,Undirected,301,,0.25
15,8,Undirected,302,,0.25
15,9,Undirected,303,,0.25
15,10,Undirected,304,,0
15,11,Undirected,305,,0
15,12,Undirected,306,,0
15,13,Undirected,307,,0
15,14,Undirected,308,,0.25
15,15,Undirected,309,,0
15,16,Undirected,310,,0.25
15,17,Undirected,311,,0.25
15,18,Undirected,312,,0.25
15,19,Undirected,313,,0.25
15,20,Undirected,314,,0
15,21,Undirected,315,,0.25
16,1,Undirected,316,,0.25
16,2,Undirected,317,,0.25
16,3,Undirected,318,,0.25
16,4,Undirected,319,,0.25
16,5,Undirected,320,,0.25
16,6,Undirected,321,,0.25
16,7,Undirected,322,,0.25
16,8,Undirected,323,,0.25
16,9,Undirected,324,,0.25
16,10,Undirected,325,,0
16,11,Undirected,326,,0
16,12,Undirected,327,,0
16,13,Undirected,328,,0
16,14,Undirected,329,,0
16,15,Undirected,330,,0.25
16,16,Undirected,331,,0
16,17,Undirected,332,,0.25
16,18,Undirected,333,,0.25
16,19,Undirected,334,,0.25
16,20,Undirected,335,,0
16,21,Undirected,336,,0.25
17,1,Undirected,337,,0.5
17,2,Undirected,338,,0.5
17,3,Undirected,339,,0.5
17,4,Undirected,340,,0.5
17,5,Undirected,341,,0.25
17,6,Undirected,342,,0.25
17,7,Undirected,343,,0.25
17,8,Undirected,344,,0.25
17,9,Undirected,345,,0.25
17,10,Undirected,346,,0
17,11,Undirected,347,,0
17,12,Undirected,348,,0
17,13,Undirected,349,,0
17,14,Undirected,350,,0
17,15,Undirected,351,,0.25
17,16,Undirected,352,,0.25
17,17,Undirected,353,,0
17,18,Undirected,354,,0.25
17,19,Undirected,355,,0.25
17,20,Undirected,356,,0
17,21,Undirected,357,,0.25
18,1,Undirected,358,,0.5
18,2,Undirected,359,,0.5
18,3,Undirected,360,,0.5
18,4,Undirected,361,,0.5
18,5,Undirected,362,,0.25
18,6,Undirected,363,,0.25
18,7,Undirected,364,,0.25
18,8,Undirected,365,,0.25
18,9,Undirected,366,,0.25
18,10,Undirected,367,,0
18,11,Undirected,368,,0
18,12,Undirected,369,,0
18,13,Undirected,370,,0
18,14,Undirected,371,,0
18,15,Undirected,372,,0.25
18,16,Undirected,373,,0.25
18,17,Undirected,374,,0.25
18,18,Undirected,375,,0
18,19,Undirected,376,,0.25
18,20,Undirected,377,,0
18,21,Undirected,378,,0.25
19,1,Undirected,379,,0.25
19,2,Undirected,380,,0.25
19,3,Undirected,381,,0.25
19,4,Undirected,382,,0.25
19,5,Undirected,383,,0.25
19,6,Undirected,384,,0.25
19,7,Undirected,385,,0.25
19,8,Undirected,386,,0.25
19,9,Undirected,387,,0.25
19,10,Undirected,388,,0
19,11,Undirected,389,,0
19,12,Undirected,390,,0
19,13,Undirected,391,,0
19,14,Undirected,392,,0
19,15,Undirected,393,,0.25
19,16,Undirected,394,,0.25
19,17,Undirected,395,,0.25
19,18,Undirected,396,,0.25
19,19,Undirected,397,,0
19,20,Undirected,398,,0
19,21,Undirected,399,,0.25
20,1,Undirected,400,,0.25
20,2,Undirected,401,,0
20,3,Undirected,402,,0.25
20,4,Undirected,403,,0
20,5,Undirected,404,,0
20,6,Undirected,405,,0
20,7,Undirected,406,,0.25
20,8,Undirected,407,,0.25
20,9,Undirected,408,,0
20,10,Undirected,409,,0
20,11,Undirected,410,,0
20,12,Undirected,411,,0
20,13,Undirected,412,,0.25
20,14,Undirected,413,,0
20,15,Undirected,414,,0
20,16,Undirected,415,,0
20,17,Undirected,416,,0
20,18,Undirected,417,,0
20,19,Undirected,418,,0
20,20,Undirected,419,,0
20,21,Undirected,420,,0
21,1,Undirected,421,,0.5
21,2,Undirected,422,,0.5
21,3,Undirected,423,,0.25
21,4,Undirected,424,,0.5
21,5,Undirected,425,,0.5
21,6,Undirected,426,,0.5
21,7,Undirected,427,,0.5
21,8,Undirected,428,,0.5
21,9,Undirected,429,,0.25
21,10,Undirected,430,,0.25
21,11,Undirected,431,,0.25
21,12,Undirected,432,,0.25
21,13,Undirected,433,,0
21,14,Undirected,434,,0
21,15,Undirected,435,,0.25
21,16,Undirected,436,,0.25
21,17,Undirected,437,,0.25
21,18,Undirected,438,,0.25
21,19,Undirected,439,,0.25
21,20,Undirected,440,,0
21,21,Undirected,441,,0
